2024/09/01 10:46:31.73 j.u.u.Main                     INFO  [main                                              ] - Application Start.
2024/09/01 10:46:31.76 j.u.u.Main                     INFO  [main                                              ] - Setting develop environment.
2024/09/01 10:46:31.76 j.u.u.Main                     INFO  [main                                              ] - Using develop environment.
2024/09/01 10:46:31.80 j.u.u.Main                     DEBUG [JavaFX Application Thread                         ] - debug test
2024/09/01 10:46:31.80 j.u.u.Main                     INFO  [JavaFX Application Thread                         ] - Loading FXML.
2024/09/01 10:46:33.13 j.u.u.Main                     INFO  [JavaFX Application Thread                         ] - Waiting start.
2024/09/01 10:46:35.62 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@25cf8e7e, view=ImageView@3c8cda84[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.67 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1e953b89, view=ImageView@6a8d6b0d[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.71 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@18a9b2f8, view=ImageView@7b608822[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.77 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@238c97fc, view=ImageView@28b7ce92[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.83 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1ebfa28c, view=ImageView@16e9170d[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.88 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@20fcfb61, view=ImageView@7ad9ccf6[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.92 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5045b8e0, view=ImageView@709b20c6[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.96 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@c53ec31, view=ImageView@56748bda[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.01 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@28685247, view=ImageView@287ea7c0[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.07 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5c799c4f, view=ImageView@1ae8c76a[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.13 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4adea1e7, view=ImageView@4582425d[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.18 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@61315f4b, view=ImageView@63ea9f47[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.23 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@35684c19, view=ImageView@1ba3872e[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.27 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5d9c80fe, view=ImageView@49a34edd[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.31 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4beaf3b, view=ImageView@7053f724[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.36 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1cd4c7e5, view=ImageView@77cddb45[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.41 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@6d0275ee, view=ImageView@18364ae1[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.45 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@337184cb, view=ImageView@ad031aa[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.49 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1a4c4c8a, view=ImageView@3e666cff[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.54 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@68d2e1f7, view=ImageView@7f7f03ab[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.59 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@7157efb2, view=ImageView@f4ecb9d[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.64 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@449eee50, view=ImageView@71c6c88b[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.69 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@53b0bb09, view=ImageView@7df8b1eb[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.73 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@76fdc7b0, view=ImageView@6e8779ae[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.78 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@2bbf0355, view=ImageView@274cf26c[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.82 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@17a2affe, view=ImageView@3033a0d6[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.88 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@cf84513, view=ImageView@48691b1[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.95 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@2392fb0f, view=ImageView@30463399[styleClass=image-view], contactable=false)
2024/09/01 10:46:38.99 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@754fce46, view=ImageView@50243084[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.04 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@42b3cbcb, view=ImageView@c93e19e[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.09 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1a80fb7b, view=ImageView@6a1ccc3f[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.12 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@53ba7f28, view=ImageView@12b1e584[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.17 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3bffef4d, view=ImageView@51c75f93[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.21 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@549aba33, view=ImageView@46cd5cba[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.25 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@725dd4d1, view=ImageView@3ac046bf[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.30 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3c2ef7c4, view=ImageView@346241c7[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.35 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@73ac8914, view=ImageView@3eaf3caa[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.40 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@665a3a11, view=ImageView@21990375[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.46 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@268a5ff6, view=ImageView@32cc387e[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.51 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4da15d03, view=ImageView@79e9c7d[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.56 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@2c1d4431, view=ImageView@5eec0abb[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.60 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@775b2b82, view=ImageView@5c61f37a[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.66 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@2311430f, view=ImageView@5060aa9d[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.70 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@54ab377, view=ImageView@7409fe3f[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.74 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4611c4c3, view=ImageView@79c7c67b[styleClass=image-view], contactable=false)
2024/09/01 10:46:39.76 j.u.u.m.AppStartManager        INFO  [JavaFX Application Thread                         ] - GameMap build success.
2024/09/01 10:46:40.17 j.u.u.m.AppStartManager        INFO  [JavaFX Application Thread                         ] - Draw success.
2024/09/01 10:46:51.25 j.u.u.Main                     INFO  [main                                              ] - Application Exit.
2024/09/01 10:47:36.71 j.u.u.Main                     INFO  [main                                              ] - Application Start.
2024/09/01 10:47:36.71 j.u.u.Main                     INFO  [main                                              ] - Setting develop environment.
2024/09/01 10:47:36.71 j.u.u.Main                     INFO  [main                                              ] - Using develop environment.
2024/09/01 10:47:36.73 j.u.u.Main                     DEBUG [JavaFX Application Thread                         ] - debug test
2024/09/01 10:47:36.73 j.u.u.Main                     INFO  [JavaFX Application Thread                         ] - Loading FXML.
2024/09/01 10:47:37.85 j.u.u.Main                     INFO  [JavaFX Application Thread                         ] - Waiting start.
2024/09/01 10:47:38.92 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5feaec52, view=ImageView@1ac06851[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.02 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5bc1c06d, view=ImageView@18da81d1[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.11 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@379dae39, view=ImageView@57151ee9[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.18 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@40032f9e, view=ImageView@46aa8b3f[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.24 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@73253cf5, view=ImageView@703df606[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.32 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@609c7f0c, view=ImageView@5fac0d5[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.39 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@588de976, view=ImageView@280938c1[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.44 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@2410d4d5, view=ImageView@1056a074[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.51 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@50c009de, view=ImageView@2b727d1a[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.57 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5855d9a4, view=ImageView@4f5680a4[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.61 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5f717ef5, view=ImageView@66dac28c[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.67 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@89df3a, view=ImageView@4465fdae[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.72 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1bc5fd25, view=ImageView@31073819[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.76 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@8c3767a, view=ImageView@20da5999[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.80 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@6ed21b1b, view=ImageView@46f9ca35[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.85 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5c70d919, view=ImageView@493cf195[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.90 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@33b1015a, view=ImageView@3e349798[styleClass=image-view], contactable=false)
2024/09/01 10:47:39.96 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@680a0bcb, view=ImageView@46de38ad[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.01 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@69e25d2, view=ImageView@75ec41c3[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.05 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@531dbe5f, view=ImageView@4d091528[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.10 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@29e946a6, view=ImageView@634e612b[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.16 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@39437c1b, view=ImageView@3b143bd7[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.20 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4b550ba3, view=ImageView@2af4dda4[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.25 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1b35ba4f, view=ImageView@42c30bac[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.30 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@59a87c23, view=ImageView@5e18f2cb[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.36 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@64ca2e54, view=ImageView@373448e1[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.42 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@308e2e24, view=ImageView@1f74048c[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.47 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1c0881f5, view=ImageView@63c95f28[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.52 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3fb5377d, view=ImageView@49436022[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.58 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@450f2cba, view=ImageView@7a17a488[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.62 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5a8b4b0a, view=ImageView@4fc458d8[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.66 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@217d941f, view=ImageView@4c56f5ff[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.71 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@231c1881, view=ImageView@2395aa6a[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.76 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@6e8b463b, view=ImageView@4dd2137f[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.81 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@16b0b4b1, view=ImageView@6ed4cae[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.85 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@7fff02c7, view=ImageView@73abeab7[styleClass=image-view], contactable=false)
